levels,trailerId,baseReward,rewardPerKm,rewardAt3Miles_Formula,trailerWeight
5,vanillaTrailer_tsfb_unloaded,250,50,491,0 kg
5,vanillaTrailer_boxutility_unloaded,275,50,516,0 kg
5,vanillaTrailer_tsfb_loaded_armchairs,250,100,733,400-2100 kg
5,vanillaTrailer_boxutility_loaded_armchairs,275,100,758,200-1400 kg
5,vanillaTrailer_boxutility_large_unloaded,315,100,798,0 kg
5,vanillaTrailer_tsfb_loaded_couch,250,150,974,400-2100 kg
5,vanillaTrailer_boxutility_loaded_couch,275,150,999,200-1400 kg
5,vanillaTrailer_boxutility_large_loaded_armchairs,315,150,1039,400-2100 kg
5,vanillaTrailer_tsfb_loaded_400,250,200,1216,400 kg
5,vanillaTrailer_boxutility_loaded_200,275,200,1241,200 kg
5,vanillaTrailer_boxutility_large_loaded_couch,315,200,1281,400-2100 kg
5,vanillaTrailer_caravan_default,250,250,1457,N/A
5,vanillaTrailer_caravan_empty,250,250,1457,0 kg
5,vanillaTrailer_tsfb_loaded_800,250,250,1457,800 kg
5,vanillaTrailer_boxutility_loaded_400,275,250,1482,400 kg
5,vanillaTrailer_boxutility_large_loaded_400,315,250,1522,400 kg
5,vanillaTrailer_tsfb_loaded_planks,250,300,1698,1400 kg
5,vanillaTrailer_boxutility_loaded_600,275,300,1723,600 kg
5,vanillaTrailer_boxutility_large_loaded_800,315,325,1884,800 kg
5,vanillaTrailer_tsfb_loaded_planks_long,250,350,1940,2100 kg
5,vanillaTrailer_boxutility_loaded_planks,275,350,1965,1400 kg
5,vanillaTrailer_boxutility_large_loaded_planks,315,350,2005,1400 kg
25,vanillaTrailer_dolly_double,800,250,2007,N/A
25,vanillaTrailer_dolly_single,800,250,2007,N/A
5,vanillaTrailer_boxutility_large_loaded_planks_long,315,375,2126,2100 kg
17,vanillaTrailer_cargotrailer_default,1000,250,2207,0 kg
5,vanillaTrailer_boxutility_large_unsafe,315,400,2246,400-2100 kg
17,vanillaTrailer_cargotrailer_loaded_armchairs,1100,275,2428,400-2100 kg
17,vanillaTrailer_cargotrailer_loaded_couch,1100,300,2548,400-2100 kg
17,vanillaTrailer_tiltdeck_22ft_standard,1200,285,2576,2880-9600 kg
17,vanillaTrailer_cargotrailer_loaded_400,1100,315,2621,400 kg
17,vanillaTrailer_cargotrailer_loaded_800,1100,325,2669,800 kg
17,vanillaTrailer_tiltdeck_30ft_standard,1200,325,2769,2880-9600 kg
